"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-04-01 18:03:17",219021000,22.64272,113.68278,348.0,0.0,348,5,9632117,"MUNKEBO MAERSK","OWUQ2",71,146,253,30,30,14.8,"CNNAN > CNYAT","04-02 17:00"
"2023-04-01 18:03:35",219019094,35.89190,-5.49548,234.3,0.5,43,5,9619969,"MARIBO MAERSK","OWJJ2",71,146,253,30,30,15.4,"DEWVN > MAPTM","03-31 23:00"
"2023-04-01 18:03:49",219018864,27.98850,122.21838,208.3,18.0,208,0,9619945,"MADISON MAERSK","OWJG2",71,146,253,30,30,13.4,"CNNGB >> CNXIM","04-02 14:30"
"2023-04-01 18:04:05",374886000,38.45578,15.90578,144.0,0.0,198,5,9647461,"MSC HAMBURG","3FYY8",74,163,236,19,35,13.8,"EGPSE","04-05 15:00"
"2023-04-01 18:04:10",636017685,5.72571,87.37998,88.0,17.6,88,0,9767388,"MSC RIFAYA","D5MF9",71,159,241,25,34,13.5,"SGSIN","04-04 12:00"
"2023-04-01 18:04:20",636017577,37.92915,-8.84135,306.8,0.0,127,5,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,14.2,"ANTWERP","04-04 10:00"
"2023-04-01 18:04:47",219646000,37.34020,123.03952,2.9,16.7,2,0,9632179,"MATHILDE MAERSK","OWZW2",71,146,253,30,30,12.7,"CN HSK","04-02 13:00"
"2023-04-01 18:04:52",228386800,36.18118,-3.77220,252.2,6.8,265,0,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-02 04:00"
"2023-04-01 18:04:56",248758000,51.40867,1.91713,204.4,9.5,204,0,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"FRDKK","04-01 22:00"
"2023-04-01 18:05:00",355906000,1.27683,103.75594,33.3,0.0,301,5,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.5,"SINGAPORE","03-31 22:00"
"2023-04-01 18:09:21",219018501,2.28208,105.02202,205.4,12.4,205,0,9619919,"MAJESTIC MAERSK","OWJD2",71,146,253,30,30,15.0,"TANJUNG PELEPAS","04-02 04:00"
"2023-04-01 18:09:55",248794000,33.44150,127.69608,225.7,13.3,226,0,9776432,"CMACGM LOUIS BLERIOT","9HA4811",71,128,271,29,29,11.4,"NINGBO","04-03 00:30"
"2023-04-01 18:10:41",219018692,35.86355,-5.53908,41.0,0.0,41,5,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.3,"NLROT   >   MAPTM","04-01 16:00"
"2023-04-01 18:11:22",228394600,12.87127,112.98854,46.2,15.7,46,0,9839181,"CMA CGM PALAIS ROYAL","FMMT",71,116,284,35,27,10.8,"MYPKG > KRPUS","04-06 03:00"
"2023-04-01 18:12:17",228386700,36.32791,-1.62763,79.8,17.4,78,0,9839179,"CMACGM JACQUES SAADE","FLZE",74,116,284,38,24,15.7,"EGZZ1","04-06 02:00"
"2023-04-01 18:22:17",636017506,22.57107,114.27011,72.8,0.0,319,5,9762326,"MSC JADE","D5LH6",71,146,253,36,23,10.7,"YANTIAN","04-01 11:00"
"2023-04-02 00:00:00",248758000,51.01560,2.17622,162.9,2.2,342,0,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"FRDKK","04-01 22:00"
"2023-04-02 00:01:46",219018692,35.86355,-5.53908,41.0,0.0,41,5,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.3,"NLROT   >   MAPTM","04-01 16:00"
"2023-04-02 00:02:03",228386700,36.71530,0.45502,75.8,17.2,77,0,9839179,"CMACGM JACQUES SAADE","FLZE",74,116,284,38,24,15.7,"EGZZ1","04-06 02:00"
"2023-04-02 00:03:24",219018864,26.45040,121.20615,212.6,18.5,212,0,9619945,"MADISON MAERSK","OWJG2",71,146,253,30,30,13.4,"CNNGB >> CNXIM","04-02 14:30"
"2023-04-02 00:04:03",374859000,37.95549,23.57977,115.2,0.0,347,5,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"GR PIR","01-01 22:00"
"2023-04-02 00:04:05",374886000,38.45582,15.90572,250.7,0.0,198,5,9647461,"MSC HAMBURG","3FYY8",74,163,236,19,35,13.8,"EGPSE","04-05 15:00"
"2023-04-02 00:04:12",219021000,22.64270,113.68280,348.0,0.0,348,5,9632117,"MUNKEBO MAERSK","OWUQ2",71,146,253,30,30,14.8,"CNNAN > CNYAT","04-02 17:00"
"2023-04-02 00:04:53",219646000,38.31600,121.55093,301.4,16.0,300,0,9632179,"MATHILDE MAERSK","OWZW2",71,146,253,30,30,12.7,"CN HSK","04-02 13:00"
"2023-04-02 00:04:58",219018501,1.30223,104.28682,240.7,13.6,242,0,9619919,"MAJESTIC MAERSK","OWJD2",71,146,253,30,30,15.0,"TANJUNG PELEPAS","04-02 04:00"
"2023-04-02 00:04:58",636017577,38.64165,-9.82745,337.0,17.8,338,0,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,14.2,"ANTWERP","04-04 10:00"
"2023-04-02 00:05:00",355906000,1.27664,103.75608,32.1,0.0,301,5,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.5,"SINGAPORE","03-31 22:00"
"2023-04-02 00:05:01",228386800,36.13560,-4.87070,256.7,8.2,256,0,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-02 04:00"
"2023-04-02 00:08:43",248794000,32.49328,126.54475,226.7,12.2,220,0,9776432,"CMACGM LOUIS BLERIOT","9HA4811",71,128,271,29,29,11.4,"NINGBO","04-03 00:30"
"2023-04-02 00:11:46",219629000,30.61318,122.07430,175.4,0.0,307,5,9632131,"MARGRETHE MAERSK","OWYZ2",71,146,253,30,30,15.1,"CN SGH > MY TPP","04-17 12:00"
"2023-04-02 00:13:26",352757000,29.88970,122.82962,212.1,0.0,58,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-02 20:00"
"2023-04-02 00:14:55",219019094,35.89188,-5.49548,43.0,0.0,43,5,9619969,"MARIBO MAERSK","OWJJ2",71,146,253,30,30,16.5,"MAPTM>EGSUZ","04-06 21:00"
"2023-04-02 00:21:42",228394600,14.02500,114.16878,44.1,16.1,43,0,9839181,"CMA CGM PALAIS ROYAL","FMMT",71,116,284,35,27,10.8,"MYPKG > KRPUS","04-06 03:00"
"2023-04-02 00:24:32",636017685,5.79856,89.26404,87.7,18.1,86,0,9767388,"MSC RIFAYA","D5MF9",71,159,241,25,34,13.5,"SGSIN","04-04 12:00"
"2023-04-02 00:39:02",636017506,22.36772,114.51402,149.1,9.4,142,0,9762326,"MSC JADE","D5LH6",71,146,253,36,23,11.0,"NINGBO","04-08 21:30"
"2023-04-02 06:01:15",219018501,1.34965,103.54948,338.0,0.0,338,5,9619919,"MAJESTIC MAERSK","OWJD2",71,146,253,30,30,15.1,"TANJUNG PELEPAS","04-02 04:00"
"2023-04-02 06:01:57",355906000,1.27683,103.75587,253.8,0.0,301,5,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.5,"SINGAPORE","03-31 22:00"
"2023-04-02 06:03:15",248758000,51.00462,2.18337,215.6,0.0,345,5,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"FRDKK","04-01 22:00"
"2023-04-02 06:03:20",219629000,30.61318,122.07428,306.6,0.0,307,5,9632131,"MARGRETHE MAERSK","OWYZ2",71,146,253,30,30,15.1,"CN SGH > MY TPP","04-17 12:00"
"2023-04-02 06:03:51",219018692,35.86353,-5.53908,41.0,0.0,41,5,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.7,"MAPTM > EGSUC","04-06 23:00"
"2023-04-02 06:04:05",374859000,37.95553,23.57976,115.2,0.0,347,5,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"GR PIR","01-01 22:00"
"2023-04-02 06:04:07",374886000,38.45584,15.90583,210.3,0.0,198,5,9647461,"MSC HAMBURG","3FYY8",74,163,236,19,35,13.8,"EGPSE","04-05 15:00"
"2023-04-02 06:04:24",352757000,29.88953,122.82994,340.9,0.0,33,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-02 20:00"
"2023-04-02 06:04:32",219021000,22.64268,113.68280,348.0,0.0,348,5,9632117,"MUNKEBO MAERSK","OWUQ2",71,146,253,30,30,14.8,"CNNAN > CNYAT","04-02 17:00"
"2023-04-02 06:04:46",219019094,36.11407,-4.02075,82.4,17.9,76,0,9619969,"MARIBO MAERSK","OWJJ2",71,146,253,30,30,16.4,"MAPTM>EGSUZ","04-06 21:00"
"2023-04-02 06:04:51",636017577,40.45385,-9.83423,1.6,18.3,2,0,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,14.2,"ANTWERP","04-04 10:00"
"2023-04-02 06:04:59",219018864,25.02913,119.97333,220.3,18.0,221,0,9619945,"MADISON MAERSK","OWJG2",71,146,253,30,30,13.4,"CNNGB >> CNXIM","04-02 14:30"
"2023-04-02 06:14:21",248794000,31.66332,125.52032,222.6,11.7,225,0,9776432,"CMACGM LOUIS BLERIOT","9HA4811",71,128,271,29,29,11.4,"NINGBO","04-03 00:30"
"2023-04-02 06:14:46",228386800,36.13002,-5.42224,234.2,0.0,179,5,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-02 04:00"
"2023-04-02 06:14:59",228394600,15.10035,115.27338,43.0,15.2,45,0,9839181,"CMA CGM PALAIS ROYAL","FMMT",71,116,284,35,27,10.8,"MYPKG > KRPUS","04-06 03:00"
"2023-04-02 06:15:14",636017685,5.86477,91.00167,86.7,17.4,85,0,9767388,"MSC RIFAYA","D5MF9",71,159,241,25,34,13.5,"SGSIN","04-04 12:00"
